




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (8504)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (FDR)
regulation of peptide hormone secretion (GO:0090276)	222	131	91.67	+	1.43	1.44E-03	3.80E-02
protein autophosphorylation (GO:0046777)	188	114	77.63	+	1.47	1.43E-03	3.80E-02
cognition (GO:0050890)	298	168	123.05	+	1.37	1.43E-03	3.79E-02
regulation of actin filament-based process (GO:0032970)	397	215	163.93	+	1.31	1.41E-03	3.75E-02
regulation of MAPK cascade (GO:0043408)	707	359	291.93	+	1.23	1.41E-03	3.75E-02
mesonephric tubule morphogenesis (GO:0072171)	52	42	21.47	+	1.96	1.40E-03	3.74E-02
positive regulation of B cell activation (GO:0050871)	171	41	70.61	-	.58	1.39E-03	3.72E-02
striated muscle tissue development (GO:0014706)	286	162	118.09	+	1.37	1.39E-03	3.72E-02
protein acylation (GO:0043543)	178	109	73.50	+	1.48	1.36E-03	3.67E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	178	109	73.50	+	1.48	1.36E-03	3.66E-02
regulation of intracellular protein transport (GO:0033157)	256	148	105.71	+	1.40	1.36E-03	3.66E-02
negative regulation of transport (GO:0051051)	430	231	177.55	+	1.30	1.35E-03	3.64E-02
regulation of endocytosis (GO:0030100)	210	125	86.71	+	1.44	1.34E-03	3.62E-02
positive regulation of cell junction assembly (GO:1901890)	102	70	42.12	+	1.66	1.33E-03	3.60E-02
regulation of cellular amide metabolic process (GO:0034248)	479	254	197.79	+	1.28	1.32E-03	3.58E-02
regulation of peptide secretion (GO:0002791)	226	133	93.32	+	1.43	1.30E-03	3.53E-02
DNA repair (GO:0006281)	531	278	219.26	+	1.27	1.30E-03	3.53E-02
regulation of cellular component size (GO:0032535)	389	212	160.62	+	1.32	1.27E-03	3.47E-02
response to organic cyclic compound (GO:0014070)	900	447	371.62	+	1.20	1.27E-03	3.47E-02
metanephros development (GO:0001656)	79	58	32.62	+	1.78	1.26E-03	3.46E-02
organonitrogen compound biosynthetic process (GO:1901566)	1379	661	569.41	+	1.16	1.23E-03	3.36E-02
response to insulin (GO:0032868)	241	141	99.51	+	1.42	1.22E-03	3.34E-02
negative regulation of protein kinase activity (GO:0006469)	241	141	99.51	+	1.42	1.22E-03	3.33E-02
stem cell population maintenance (GO:0019827)	118	79	48.72	+	1.62	1.20E-03	3.32E-02
cerebral cortex development (GO:0021987)	118	79	48.72	+	1.62	1.20E-03	3.31E-02
regulation of protein binding (GO:0043393)	196	119	80.93	+	1.47	1.16E-03	3.22E-02
regulation of supramolecular fiber organization (GO:1902903)	382	209	157.73	+	1.33	1.16E-03	3.21E-02
regulation of protein serine/threonine kinase activity (GO:0071900)	493	261	203.57	+	1.28	1.16E-03	3.21E-02
digestive system development (GO:0055123)	136	88	56.16	+	1.57	1.15E-03	3.20E-02
protein localization to organelle (GO:0033365)	742	376	306.38	+	1.23	1.13E-03	3.16E-02
nephron tubule development (GO:0072080)	77	57	31.79	+	1.79	1.12E-03	3.12E-02
regulation of peptide transport (GO:0090087)	228	135	94.14	+	1.43	1.11E-03	3.11E-02
regulation of protein secretion (GO:0050708)	283	162	116.86	+	1.39	1.10E-03	3.08E-02
microtubule cytoskeleton organization (GO:0000226)	567	296	234.12	+	1.26	1.07E-03	3.01E-02
monocyte chemotaxis (GO:0002548)	42	4	17.34	-	.23	1.06E-03	2.96E-02
positive regulation of protein transport (GO:0051222)	331	185	136.68	+	1.35	1.05E-03	2.96E-02
maintenance of cell number (GO:0098727)	121	81	49.96	+	1.62	1.05E-03	2.96E-02
ephrin receptor signaling pathway (GO:0048013)	86	62	35.51	+	1.75	1.04E-03	2.93E-02
cellular response to organonitrogen compound (GO:0071417)	604	313	249.40	+	1.26	1.02E-03	2.89E-02
cellular response to nitrogen compound (GO:1901699)	664	341	274.18	+	1.24	1.02E-03	2.89E-02
limb development (GO:0060173)	175	109	72.26	+	1.51	1.00E-03	2.85E-02
appendage development (GO:0048736)	175	109	72.26	+	1.51	1.00E-03	2.85E-02
morphogenesis of a branching epithelium (GO:0061138)	160	101	66.07	+	1.53	9.99E-04	2.84E-02
positive regulation of cellular component movement (GO:0051272)	558	292	230.41	+	1.27	9.90E-04	2.82E-02
bone development (GO:0060348)	189	116	78.04	+	1.49	9.64E-04	2.77E-02
positive regulation of cell growth (GO:0030307)	166	104	68.54	+	1.52	9.66E-04	2.77E-02
embryonic limb morphogenesis (GO:0030326)	119	80	49.14	+	1.63	9.67E-04	2.77E-02
regulation of insulin secretion (GO:0050796)	189	116	78.04	+	1.49	9.64E-04	2.77E-02
embryonic appendage morphogenesis (GO:0035113)	119	80	49.14	+	1.63	9.67E-04	2.77E-02
response to peptide (GO:1901652)	488	260	201.50	+	1.29	9.57E-04	2.76E-02
chromatin remodeling (GO:0006338)	173	108	71.43	+	1.51	9.45E-04	2.74E-02
regulation of cellular protein catabolic process (GO:1903362)	256	149	105.71	+	1.41	9.47E-04	2.74E-02
organelle localization (GO:0051640)	609	316	251.47	+	1.26	9.37E-04	2.72E-02
reproduction (GO:0000003)	1462	700	603.68	+	1.16	9.05E-04	2.63E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	144	101.16	+	1.42	9.05E-04	2.63E-02
neuron migration (GO:0001764)	117	79	48.31	+	1.64	8.93E-04	2.61E-02
reproductive process (GO:0022414)	1459	699	602.44	+	1.16	8.94E-04	2.61E-02
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	76	45.83	+	1.66	8.89E-04	2.60E-02
epidermis development (GO:0008544)	422	125	174.25	-	.72	8.75E-04	2.57E-02
localization within membrane (GO:0051668)	615	319	253.94	+	1.26	8.72E-04	2.56E-02
regulation of fat cell differentiation (GO:0045598)	128	85	52.85	+	1.61	8.40E-04	2.47E-02
limb morphogenesis (GO:0035108)	141	92	58.22	+	1.58	8.36E-04	2.47E-02
appendage morphogenesis (GO:0035107)	141	92	58.22	+	1.58	8.36E-04	2.47E-02
nephron epithelium development (GO:0072009)	98	69	40.47	+	1.71	8.32E-04	2.46E-02
positive regulation of cell death (GO:0010942)	638	330	263.44	+	1.25	8.25E-04	2.45E-02
negative regulation of transferase activity (GO:0051348)	306	174	126.35	+	1.38	8.23E-04	2.45E-02
visual system development (GO:0150063)	368	204	151.95	+	1.34	8.14E-04	2.42E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	142	99.10	+	1.43	8.11E-04	2.42E-02
regulation of transmembrane transport (GO:0034762)	591	309	244.03	+	1.27	7.96E-04	2.38E-02
kidney epithelium development (GO:0072073)	126	84	52.03	+	1.61	7.81E-04	2.34E-02
nephron development (GO:0072006)	126	84	52.03	+	1.61	7.81E-04	2.34E-02
renal tubule development (GO:0061326)	81	60	33.45	+	1.79	7.74E-04	2.33E-02
ameboidal-type cell migration (GO:0001667)	181	113	74.74	+	1.51	7.71E-04	2.32E-02
regulation of intracellular transport (GO:0032386)	364	202	150.30	+	1.34	7.71E-04	2.32E-02
glial cell differentiation (GO:0010001)	173	109	71.43	+	1.53	7.58E-04	2.29E-02
sensory system development (GO:0048880)	374	207	154.43	+	1.34	7.58E-04	2.29E-02
cellular response to stimulus (GO:0051716)	6807	2986	2810.72	+	1.06	7.54E-04	2.29E-02
muscle tissue development (GO:0060537)	301	172	124.29	+	1.38	7.52E-04	2.29E-02
response to lipid (GO:0033993)	831	419	343.13	+	1.22	7.48E-04	2.28E-02
liver development (GO:0001889)	138	91	56.98	+	1.60	7.49E-04	2.28E-02
cardiac chamber morphogenesis (GO:0003206)	119	81	49.14	+	1.65	7.45E-04	2.28E-02
cytolysis (GO:0019835)	34	2	14.04	-	.14	7.39E-04	2.26E-02
renal tubule morphogenesis (GO:0061333)	66	52	27.25	+	1.91	7.32E-04	2.25E-02
transcription by RNA polymerase II (GO:0006366)	382	211	157.73	+	1.34	7.26E-04	2.23E-02
metencephalon development (GO:0022037)	112	77	46.25	+	1.66	7.13E-04	2.20E-02
response to endoplasmic reticulum stress (GO:0034976)	260	152	107.36	+	1.42	7.09E-04	2.19E-02
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	56	91.67	-	.61	6.96E-04	2.15E-02
neurotransmitter transport (GO:0006836)	142	93	58.63	+	1.59	6.80E-04	2.11E-02
regulation of ion transport (GO:0043269)	703	361	290.28	+	1.24	6.72E-04	2.09E-02
regulation of response to DNA damage stimulus (GO:2001020)	223	134	92.08	+	1.46	6.69E-04	2.09E-02
gliogenesis (GO:0042063)	223	134	92.08	+	1.46	6.69E-04	2.08E-02
hepaticobiliary system development (GO:0061008)	141	93	58.22	+	1.60	6.56E-04	2.05E-02
kidney morphogenesis (GO:0060993)	83	62	34.27	+	1.81	6.44E-04	2.01E-02
regulation of autophagy (GO:0010506)	331	187	136.68	+	1.37	6.37E-04	2.00E-02
negative regulation of kinase activity (GO:0033673)	264	155	109.01	+	1.42	6.33E-04	1.99E-02
catabolic process (GO:0009056)	2096	982	865.47	+	1.13	6.34E-04	1.99E-02
regulation of DNA metabolic process (GO:0051052)	372	207	153.60	+	1.35	6.26E-04	1.97E-02
actin filament-based process (GO:0030029)	605	317	249.81	+	1.27	6.13E-04	1.94E-02
roof of mouth development (GO:0060021)	87	64	35.92	+	1.78	6.02E-04	1.91E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	191	139.57	+	1.37	6.00E-04	1.91E-02
intracellular protein transport (GO:0006886)	781	398	322.49	+	1.23	5.92E-04	1.88E-02
cell junction assembly (GO:0034329)	276	161	113.96	+	1.41	5.58E-04	1.78E-02
protein-containing complex assembly (GO:0065003)	1358	658	560.74	+	1.17	5.54E-04	1.77E-02
eye development (GO:0001654)	364	204	150.30	+	1.36	5.52E-04	1.77E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	101	64.41	+	1.57	5.45E-04	1.75E-02
nephron tubule morphogenesis (GO:0072078)	62	50	25.60	+	1.95	5.40E-04	1.73E-02
mesenchymal cell differentiation (GO:0048762)	162	104	66.89	+	1.55	5.32E-04	1.72E-02
cardiac chamber development (GO:0003205)	162	104	66.89	+	1.55	5.32E-04	1.71E-02
regulation of axonogenesis (GO:0050770)	161	104	66.48	+	1.56	5.11E-04	1.66E-02
leukocyte migration (GO:0050900)	379	108	156.50	-	.69	5.12E-04	1.65E-02
positive regulation of cell population proliferation (GO:0008284)	939	471	387.73	+	1.21	4.94E-04	1.60E-02
posttranscriptional regulation of gene expression (GO:0010608)	581	307	239.90	+	1.28	4.85E-04	1.58E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	96	60.29	+	1.59	4.84E-04	1.58E-02
lung development (GO:0030324)	173	110	71.43	+	1.54	4.81E-04	1.57E-02
regulation of muscle cell differentiation (GO:0051147)	145	96	59.87	+	1.60	4.63E-04	1.52E-02
hindbrain development (GO:0030902)	151	99	62.35	+	1.59	4.54E-04	1.49E-02
protein modification by small protein conjugation (GO:0032446)	822	418	339.42	+	1.23	4.46E-04	1.47E-02
nephron epithelium morphogenesis (GO:0072088)	64	52	26.43	+	1.97	4.43E-04	1.46E-02
positive regulation of protein catabolic process (GO:0045732)	237	143	97.86	+	1.46	4.16E-04	1.37E-02
sensory organ morphogenesis (GO:0090596)	261	155	107.77	+	1.44	4.03E-04	1.33E-02
regulation of dendrite morphogenesis (GO:0048814)	67	54	27.67	+	1.95	4.00E-04	1.32E-02
microtubule-based process (GO:0007017)	806	412	332.81	+	1.24	3.95E-04	1.31E-02
proteasomal protein catabolic process (GO:0010498)	361	204	149.06	+	1.37	3.77E-04	1.26E-02
nephron morphogenesis (GO:0072028)	66	53	27.25	+	1.94	3.77E-04	1.25E-02
defense response to Gram-negative bacterium (GO:0050829)	91	15	37.58	-	.40	3.69E-04	1.23E-02
positive regulation of intracellular protein transport (GO:0090316)	185	117	76.39	+	1.53	3.57E-04	1.19E-02
negative regulation of cell cycle (GO:0045786)	454	249	187.46	+	1.33	3.52E-04	1.18E-02
respiratory tube development (GO:0030323)	177	113	73.09	+	1.55	3.46E-04	1.16E-02
regulation of neuron death (GO:1901214)	316	183	130.48	+	1.40	3.40E-04	1.15E-02
cellular response to oxygen-containing compound (GO:1901701)	1075	535	443.88	+	1.21	3.40E-04	1.15E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	152	104.47	+	1.45	3.35E-04	1.13E-02
morphogenesis of a branching structure (GO:0001763)	169	109	69.78	+	1.56	3.34E-04	1.13E-02
ear development (GO:0043583)	220	135	90.84	+	1.49	3.32E-04	1.13E-02
negative regulation of neurogenesis (GO:0050768)	143	96	59.05	+	1.63	3.33E-04	1.13E-02
RNA biosynthetic process (GO:0032774)	543	291	224.21	+	1.30	3.23E-04	1.10E-02
homeostatic process (GO:0042592)	1680	805	693.70	+	1.16	3.20E-04	1.09E-02
endocrine system development (GO:0035270)	124	86	51.20	+	1.68	3.19E-04	1.09E-02
negative regulation of mitotic cell cycle (GO:0045930)	294	172	121.40	+	1.42	3.17E-04	1.09E-02
anterior/posterior pattern specification (GO:0009952)	203	127	83.82	+	1.52	3.13E-04	1.08E-02
positive regulation of intracellular signal transduction (GO:1902533)	1040	520	429.43	+	1.21	3.09E-04	1.07E-02
negative regulation of cellular protein metabolic process (GO:0032269)	1040	520	429.43	+	1.21	3.09E-04	1.07E-02
camera-type eye development (GO:0043010)	317	184	130.89	+	1.41	2.88E-04	1.00E-02
positive regulation of cellular catabolic process (GO:0031331)	450	248	185.81	+	1.33	2.85E-04	9.91E-03
organophosphate biosynthetic process (GO:0090407)	552	296	227.93	+	1.30	2.70E-04	9.40E-03
limbic system development (GO:0021761)	109	78	45.01	+	1.73	2.65E-04	9.23E-03
sensory perception of taste (GO:0050909)	69	9	28.49	-	.32	2.63E-04	9.20E-03
cell cycle process (GO:0022402)	957	483	395.16	+	1.22	2.56E-04	8.96E-03
cell division (GO:0051301)	498	271	205.63	+	1.32	2.52E-04	8.86E-03
negative regulation of nervous system development (GO:0051961)	148	99	61.11	+	1.62	2.46E-04	8.73E-03
response to hypoxia (GO:0001666)	347	199	143.28	+	1.39	2.48E-04	8.73E-03
positive regulation of growth (GO:0045927)	257	155	106.12	+	1.46	2.47E-04	8.72E-03
positive regulation of neuron projection development (GO:0010976)	161	106	66.48	+	1.59	2.47E-04	8.72E-03
negative regulation of gene expression (GO:0010629)	999	503	412.50	+	1.22	2.40E-04	8.51E-03
negative regulation of cell development (GO:0010721)	180	116	74.32	+	1.56	2.38E-04	8.46E-03
apoptotic process (GO:0006915)	913	464	376.99	+	1.23	2.37E-04	8.46E-03
chemical synaptic transmission (GO:0007268)	414	232	170.95	+	1.36	2.32E-04	8.31E-03
anterograde trans-synaptic signaling (GO:0098916)	414	232	170.95	+	1.36	2.32E-04	8.29E-03
developmental process involved in reproduction (GO:0003006)	974	492	402.18	+	1.22	2.28E-04	8.20E-03
regulation of cytoskeleton organization (GO:0051493)	526	285	217.19	+	1.31	2.28E-04	8.20E-03
synaptic signaling (GO:0099536)	464	256	191.59	+	1.34	2.17E-04	7.82E-03
negative regulation of cell population proliferation (GO:0008285)	703	368	290.28	+	1.27	2.15E-04	7.78E-03
cellular catabolic process (GO:0044248)	1812	867	748.20	+	1.16	2.14E-04	7.76E-03
nucleic acid-templated transcription (GO:0097659)	531	288	219.26	+	1.31	2.09E-04	7.60E-03
branching morphogenesis of an epithelial tube (GO:0048754)	132	91	54.50	+	1.67	2.07E-04	7.57E-03
transcription, DNA-templated (GO:0006351)	530	287	218.85	+	1.31	2.08E-04	7.56E-03
negative regulation of phosphate metabolic process (GO:0045936)	483	265	199.44	+	1.33	2.06E-04	7.55E-03
positive regulation of developmental growth (GO:0048639)	169	111	69.78	+	1.59	2.04E-04	7.48E-03
cell recognition (GO:0008037)	241	59	99.51	-	.59	2.02E-04	7.45E-03
regulation of membrane potential (GO:0042391)	437	243	180.44	+	1.35	2.03E-04	7.45E-03
regulation of anatomical structure size (GO:0090066)	514	280	212.24	+	1.32	1.96E-04	7.25E-03
regulation of synaptic plasticity (GO:0048167)	188	121	77.63	+	1.56	1.95E-04	7.22E-03
mesenchyme development (GO:0060485)	224	139	92.49	+	1.50	1.94E-04	7.19E-03
positive regulation of cellular protein localization (GO:1903829)	306	180	126.35	+	1.42	1.91E-04	7.12E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	120	77.22	+	1.55	1.91E-04	7.11E-03
diencephalon development (GO:0021536)	79	62	32.62	+	1.90	1.89E-04	7.06E-03
response to decreased oxygen levels (GO:0036293)	361	207	149.06	+	1.39	1.88E-04	7.04E-03
respiratory system development (GO:0060541)	200	127	82.58	+	1.54	1.83E-04	6.86E-03
membrane invagination (GO:0010324)	148	30	61.11	-	.49	1.80E-04	6.79E-03
negative regulation of phosphorus metabolic process (GO:0010563)	484	266	199.85	+	1.33	1.80E-04	6.78E-03
carbohydrate derivative biosynthetic process (GO:1901137)	604	323	249.40	+	1.30	1.78E-04	6.74E-03
cornification (GO:0070268)	113	20	46.66	-	.43	1.73E-04	6.56E-03
RNA metabolic process (GO:0016070)	1582	767	653.23	+	1.17	1.68E-04	6.37E-03
trans-synaptic signaling (GO:0099537)	432	242	178.38	+	1.36	1.59E-04	6.04E-03
cell fate specification (GO:0001708)	81	64	33.45	+	1.91	1.53E-04	5.83E-03
response to oxygen levels (GO:0070482)	388	221	160.21	+	1.38	1.51E-04	5.78E-03
rhythmic process (GO:0048511)	269	163	111.07	+	1.47	1.47E-04	5.65E-03
activation of protein kinase activity (GO:0032147)	328	192	135.44	+	1.42	1.43E-04	5.49E-03
positive regulation of intracellular transport (GO:0032388)	228	142	94.14	+	1.51	1.41E-04	5.44E-03
angiogenesis (GO:0001525)	318	187	131.31	+	1.42	1.40E-04	5.42E-03
modification-dependent protein catabolic process (GO:0019941)	552	300	227.93	+	1.32	1.29E-04	5.00E-03
peptidyl-lysine modification (GO:0018205)	305	181	125.94	+	1.44	1.28E-04	4.96E-03
neuron fate commitment (GO:0048663)	62	53	25.60	+	2.07	1.27E-04	4.94E-03
antigen receptor-mediated signaling pathway (GO:0050851)	299	77	123.46	-	.62	1.26E-04	4.90E-03
negative regulation of neuron differentiation (GO:0045665)	70	58	28.90	+	2.01	1.25E-04	4.88E-03
regulation of cell cycle phase transition (GO:1901987)	522	286	215.54	+	1.33	1.19E-04	4.66E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	545	297	225.04	+	1.32	1.18E-04	4.65E-03
modification-dependent macromolecule catabolic process (GO:0043632)	563	306	232.47	+	1.32	1.10E-04	4.33E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	328	251.47	+	1.30	1.06E-04	4.22E-03
heart morphogenesis (GO:0003007)	241	150	99.51	+	1.51	1.06E-04	4.22E-03
regulation of synapse assembly (GO:0051963)	99	75	40.88	+	1.83	1.06E-04	4.21E-03
protein-containing complex subunit organization (GO:0043933)	1605	781	662.73	+	1.18	1.05E-04	4.19E-03
regulation of neurotransmitter levels (GO:0001505)	218	138	90.02	+	1.53	1.04E-04	4.15E-03
in utero embryonic development (GO:0001701)	366	212	151.13	+	1.40	1.01E-04	4.06E-03
embryonic organ morphogenesis (GO:0048562)	295	177	121.81	+	1.45	1.01E-04	4.05E-03
regulation of neuron apoptotic process (GO:0043523)	210	134	86.71	+	1.55	1.01E-04	4.05E-03
regulation of cell morphogenesis (GO:0022604)	310	185	128.00	+	1.45	9.68E-05	3.90E-03
negative regulation of intracellular signal transduction (GO:1902532)	507	280	209.35	+	1.34	9.65E-05	3.90E-03
muscle structure development (GO:0061061)	473	264	195.31	+	1.35	9.47E-05	3.84E-03
negative regulation of protein metabolic process (GO:0051248)	1112	560	459.16	+	1.22	9.34E-05	3.80E-03
organic substance transport (GO:0071702)	2079	992	858.45	+	1.16	8.70E-05	3.55E-03
cell population proliferation (GO:0008283)	485	270	200.26	+	1.35	8.25E-05	3.37E-03
locomotion (GO:0040011)	1345	666	555.37	+	1.20	8.15E-05	3.34E-03
protein modification by small protein conjugation or removal (GO:0070647)	1035	526	427.37	+	1.23	7.84E-05	3.22E-03
negative regulation of protein phosphorylation (GO:0001933)	353	207	145.76	+	1.42	7.79E-05	3.21E-03
cellular protein catabolic process (GO:0044257)	644	346	265.92	+	1.30	7.76E-05	3.20E-03
positive regulation of cellular component biogenesis (GO:0044089)	534	294	220.50	+	1.33	7.51E-05	3.11E-03
dorsal/ventral pattern formation (GO:0009953)	76	63	31.38	+	2.01	7.22E-05	3.00E-03
pallium development (GO:0021543)	173	116	71.43	+	1.62	6.86E-05	2.86E-03
regulation of system process (GO:0044057)	585	319	241.56	+	1.32	6.86E-05	2.85E-03
reproductive structure development (GO:0048608)	416	238	171.77	+	1.39	6.19E-05	2.59E-03
regulation of cellular response to growth factor stimulus (GO:0090287)	299	181	123.46	+	1.47	6.09E-05	2.55E-03
spinal cord development (GO:0021510)	100	77	41.29	+	1.86	6.01E-05	2.53E-03
protein catabolic process (GO:0030163)	697	372	287.80	+	1.29	5.99E-05	2.52E-03
regulation of binding (GO:0051098)	365	214	150.71	+	1.42	5.69E-05	2.40E-03
plasma membrane invagination (GO:0099024)	141	26	58.22	-	.45	5.27E-05	2.23E-03
negative regulation of phosphorylation (GO:0042326)	395	229	163.10	+	1.40	4.96E-05	2.11E-03
cellular macromolecule catabolic process (GO:0044265)	925	479	381.95	+	1.25	4.82E-05	2.05E-03
response to hormone (GO:0009725)	819	430	338.18	+	1.27	4.63E-05	1.98E-03
reproductive system development (GO:0061458)	419	241	173.01	+	1.39	4.56E-05	1.96E-03
regulation of signal transduction by p53 class mediator (GO:1901796)	201	132	83.00	+	1.59	4.56E-05	1.95E-03
regulation of protein catabolic process (GO:0042176)	398	231	164.34	+	1.41	4.38E-05	1.89E-03
positive regulation of protein kinase activity (GO:0045860)	539	299	222.56	+	1.34	4.29E-05	1.85E-03
regulation of dendrite development (GO:0050773)	104	80	42.94	+	1.86	4.17E-05	1.80E-03
macromolecule catabolic process (GO:0009057)	1058	541	436.86	+	1.24	4.05E-05	1.76E-03
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	15	42.12	-	.36	3.75E-05	1.63E-03
cell killing (GO:0001906)	126	21	52.03	-	.40	3.52E-05	1.54E-03
cellular response to DNA damage stimulus (GO:0006974)	793	420	327.44	+	1.28	3.13E-05	1.37E-03
synapse organization (GO:0050808)	289	178	119.33	+	1.49	3.12E-05	1.37E-03
killing of cells of other organism (GO:0031640)	87	11	35.92	-	.31	2.97E-05	1.31E-03
positive regulation of neurogenesis (GO:0050769)	227	147	93.73	+	1.57	2.75E-05	1.22E-03
regulation of vesicle-mediated transport (GO:0060627)	530	297	218.85	+	1.36	2.71E-05	1.20E-03
negative regulation of Wnt signaling pathway (GO:0030178)	219	143	90.43	+	1.58	2.63E-05	1.17E-03
regulation of secretion (GO:0051046)	639	349	263.85	+	1.32	2.60E-05	1.16E-03
positive regulation of protein phosphorylation (GO:0001934)	838	443	346.02	+	1.28	2.18E-05	9.76E-04
